filename,publisher,raw_count,total,ag_share
allafrica_2024.csv,the new humanitarian (geneva),8,9,0.889
allafrica_2024.csv,the new republic liberia (monrovia),1,1,1.0
allafrica_2024.csv,the new times (kigali),30,33,0.909
allafrica_2024.csv,the observer (kampala),7,8,0.875
allafrica_2024.csv,the reporter (addis ababa),1,1,1.0
allafrica_2024.csv,this day (lagos),35,43,0.814
allafrica_2024.csv,thomson reuters foundation (london),1,1,1.0
allafrica_2024.csv,un news service,3,4,0.75
allafrica_2024.csv,united nations development programme (new york),1,1,1.0
allafrica_2024.csv,united nations high commissioner for refugees,1,1,1.0
allafrica_2024.csv,united nations in sudan (khartoum),1,1,1.0
allafrica_2024.csv,united nations office for the coordination of humanitarian affairs (new york),2,2,1.0
allafrica_2024.csv,united nations world food programme (rome),11,11,1.0
allafrica_2024.csv,"united states agency for international development (washington, dc)",1,1,1.0
allafrica_2024.csv,"united states department of state (washington, dc)",1,1,1.0
allafrica_2024.csv,united states embassy (addis ababa),1,1,1.0
allafrica_2024.csv,vanguard (lagos),41,65,0.631
allafrica_2024.csv,"voice of america (washington, dc)",5,5,1.0
allafrica_2024.csv,"world bank (washington, dc)",1,1,1.0
